task,participant_id,dominant_hand,hand_used,mode,mapping,list,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,item_original,sentence,last_word,meaningful,number_letters,word_count,word_frequency,cloze_probability,original_dataset,spelling_modified,start_time,end_time
SD,amanda02,left,left,full,2,B,1,p1,practice,Practice,NA,NA,right,right,1,1238,1,In the evening grandpa smokes using his,pipe,True,4,7,none,0.96,peele,no,2026-03-07 22:56:34,2026-03-07 22:56:39
SD,amanda02,left,left,full,2,B,2,p1,practice,Practice,NA,NA,left,left,1,1221,14,Andrea watered her garden with a small,bear,False,4,7,none,0.45,peele,no,2026-03-07 22:56:41,2026-03-07 22:56:46
SD,amanda02,left,left,full,2,B,3,p1,practice,Practice,NA,NA,left,left,1,1580,7,The crime rate has gone up this,banana,False,6,7,none,0.81,block_baldwin,no,2026-03-07 22:56:47,2026-03-07 22:56:52
SD,amanda02,left,left,full,2,B,4,p1,practice,Practice,NA,NA,right,right,1,1037,9,The couple's trip was ruined when it began to,rain,True,4,9,none,0.85,peele,no,2026-03-07 22:56:54,2026-03-07 22:57:00
SD,amanda02,left,left,full,2,B,5,p1,practice,Practice,NA,NA,right,left,0,1169,117,The teacher was afraid of germs and getting,infected,True,8,8,none,0.92,peele,no,2026-03-07 22:57:01,2026-03-07 22:57:07
SD,amanda02,left,left,full,2,B,6,p1,practice,Practice,NA,NA,right,right,1,1637,86,"While his parents vacationed, the kid threw a huge",fit,True,3,9,none,0.84,peele,no,2026-03-07 22:57:08,2026-03-07 22:57:15
SD,amanda02,left,left,full,2,B,7,p1,practice,Practice,NA,NA,right,right,1,575,131,Claire claimed motherhood was the hardest job she ever,accomplished,True,12,9,none,0.82,peele,no,2026-03-07 22:57:16,2026-03-07 22:57:22
SD,amanda02,left,left,full,2,B,8,p1,practice,Practice,NA,NA,right,left,0,996,4,She made herself a sandwich and chips for,lunch,True,5,8,none,0.9,block_baldwin,no,2026-03-07 22:57:23,2026-03-07 22:57:28
SD,amanda02,left,left,full,2,B,9,p1,practice,Practice,NA,NA,left,right,0,1039,6,The janitor accidentally spilled some water on the,moon,False,4,8,none,0.88,block_baldwin,no,2026-03-07 22:57:30,2026-03-07 22:57:35
SD,amanda02,left,left,full,2,B,10,b1,experimental,Predictable,NA,NA,right,right,1,1554,84,Incredibly poor food service is my pet,peeve,True,5,7,213863,0.96,peele,no,2026-03-07 22:58:00,2026-03-07 22:58:06
