Sentence,LastWord,Meaningful,Predictability,cloze_probability,word_count,Condition
In the evening grandpa smokes using his,pipe,True,high ,0.96,7,Practice
When she lost her doll the girl began to,holler,True,high ,0.84,9,Practice
The committed scientist spent hours working in the,formula,True,high ,0.88,8,Practice
She made herself a sandwich and chips for,lunch,True,high ,0.9,8,Practice
The teacher wrote the problem on the,game,False,high ,0.94,7,Practice
The janitor accidentally spilled some water on the,moon,False,high ,0.88,8,Practice
The crime rate has gone up this,banana,False,high ,0.81,7,Practice
The diving board was scary because it was so,beige,False,high ,0.82,9,Practice
The couple's trip was ruined when it began to,rain,True,high ,0.85,9,Practice
Karla had played the game and knew how to,stratigize,True,high ,0.87,9,Practice
Sharon majored in Education to learn how to,teach,True,high ,0.95,8,Practice
The boxer knew that tonight he had to,succeed,True,high ,0.86,8,Practice
Everyone on the cruise gasped and pointed out the massive,war,False,low ,0.49,10,Practice
Andrea watered her garden with a small,bear,False,low ,0.45,7,Practice
The dog was lonely without companions and started to,whine,True,low ,0.39,9,Practice
Tommy was angry at his mom and started to,yell,True,low ,0.45,9,Practice
The passengers feared capsizing when the ship began to,rock,True,low ,0.36,9,Practice
Visitors at the medieval festival drank honey,mead,True,low ,0.35,7,Practice
"To finish seasoning the salmon, Marge needed",land,False,low ,0.32,7,Practice
Isaac didn't know what her behavior could,view,False,low ,0.48,7,Practice
Timothy was hesitant when he had to make a,decision,True,low ,0.4,9,Practice
Yolanda wants a great job so she can get,rich,True,low ,0.37,9,Practice
Malcolm wanted to tidy the lawn but had no,mower,True,low ,0.33,9,Practice
The young woman had a very recognizable,face,True,low ,0.44,7,Practice
Helen removed the paint from her face with a,cloth,True,low ,0.33,9,Predictable
"After returning to his bedroom, the monk removed his",sandals,True,low ,0.5,9,Switching
Clay refused to settle down and buy his own,sky,False,low ,0.47,9,Meaningless
Charles dunked the basketball through the,hoop,True,high ,0.87,6,Predictable
The expensive tie was made of,silk,True,high ,0.89,6,Predictable
Katie put the flowers in an expensive,vase,True,high ,0.93,7,Predictable
"After raking the yard, Pat jumped into the pile of",leaves,True,high ,0.92,10,Predictable
The rambunctious dog pulled and tugged against the,tack,False,low ,0.49,8,Meaningless
I had no key to open the locked,loss,False,high ,0.89,8,Meaningless
Kyle carefully scooped the honey out of the,bowl,True,low ,0.5,8,Switching
The dog ran inside just before it started to,poop,True,high ,0.82,9,Switching
Don didn't tell Carmen secrets because she liked to,gossip,True,low ,0.49,9,Predictable
Barb pulled her sleeve back to reveal a big,bruise,True,low ,0.39,9,Predictable
"When the building came down, there was a loud",crash,True,low ,0.49,9,Predictable
He loosened the tie around his,neck,True,high ,0.97,6,Predictable
"After his divorce, my neighbor was a lonely",fellow,True,low ,0.46,8,Switching
Sally heard that our new teacher was impossible to,satisfy,True,low ,0.48,9,Switching
"After weeks at sea, the bottle washed up onto the",rocks,True,high ,0.83,10,Switching
Alexis was embarrassed by her child's behavior in,space,False,low ,0.36,8,Meaningless
The car was similar but it was a different,size,True,low ,0.4,9,Switching
The teacher was afraid of germs and getting,infected,True,high ,0.92,8,Switching
Mary was upset when she spilled coffee on her favorite,laptop,True,low ,0.35,10,Switching
The woman applied concealer with a gentle,touch,True,low ,0.35,7,Predictable
She preheated the oven and greased the,pan,True,high ,0.9,7,Predictable
It is painful to have diseases like,alcoholism,True,low ,0.36,7,Switching
"In class, Paula took out her notebook and",wrote,True,low ,0.42,8,Predictable
The book was a steal at such a low,price,True,high ,0.89,9,Predictable
"Distracted while driving, Maya got stuck in the sticky",swamp,True,low ,0.46,9,Switching
"Instead of buying a new phone, Shannon replaced the",urine,False,low ,0.36,9,Meaningless
The young man quickly pulled the sword from the,rack,True,low ,0.39,9,Switching
Don't believe everything you,hear,True,high ,0.82,4,Predictable
Her new shoes were the wrong,size,True,high ,0.91,6,Predictable
The impatient man kept glancing at his,song,False,high ,0.94,7,Meaningless
Kelly believed that everything was determined by,looks,True,high ,0.83,7,Switching
Not even the cast liked the,chalk,False,low ,0.36,6,Meaningless
Everyone ran from the man like he was a,monster,True,low ,0.31,9,Predictable
"To enter the castle, she rode across a",bridge,True,low ,0.4,8,Predictable
"When it's warm out, Jack likes going to the",beach,True,low ,0.42,9,Predictable
One must take time out of every day to,read,True,low ,0.36,9,Switching
Elle got behind the stalled car and began to,panic,True,high ,0.87,9,Switching
"Everyday during recess, the children would play",tag,True,low ,0.41,7,Predictable
"Lately, Sam has felt like he is in a",cage,True,low ,0.43,9,Switching
Jim convinced her that it was a bad prank to,call,True,low ,0.43,10,Switching
The villagers lived their lives as simple,men,True,low ,0.4,7,Switching
"In the courtroom, the defendant was silenced by the",apple,False,high ,0.85,9,Meaningless
The shape of the woman's crystal ball was,round,True,high ,0.82,8,Predictable
Dean dropped the cookies and had to make a fresh,plate,True,high ,0.95,10,Switching
The pirates escaped with a large bag of,gold,True,low ,0.44,8,Predictable
They believe the most pious man is the,leader,True,low ,0.38,8,Switching
Jenny lit the candles on the birthday,bath,False,high ,0.94,7,Meaningless
The dog chased our cat up the,accomplice,False,low ,0.43,7,Meaningless
Jake hated the game and thought it wasn't,fair,True,low ,0.44,9,Predictable
Quinn was surprised that Mariah didn't believe in,god,True,low ,0.43,8,Predictable
Suzy saw a sign that said babysitter for,weekends,True,high ,0.88,8,Switching
Andrew's favorite type of fruit is the,melon,True,low ,0.31,7,Switching
The gym class knew the rope would be a,shell,False,low ,0.26,9,Meaningless
The boy screamed after he was stung by a,tone,False,high ,0.81,9,Meaningless
The cardinals wondered which of them would become the,coffe,False,low ,0.5,9,Meaningless
For a small horse she has a very long,tail,True,low ,0.47,9,Predictable
Chris said his dog had always been his best,pal,True,high ,0.95,9,Switching
Ian's favorite pie was either apple or,bag,False,low ,0.43,7,Meaningless
"As he left, the insulted man made a",gesture,True,low ,0.4,8,Predictable
Paulina gave the huge lollipop a big,bite,True,high ,0.88,7,Switching
The farmer ran out of bacon and slaughtered the,chickens,True,high ,0.88,9,Switching
The maid dusted the books on the,shelf,True,high ,0.93,7,Predictable
The British businessman was the wealthiest in the whole,country,True,low ,0.36,9,Predictable
The captain steered the ship and narrowly avoided the,reefs,True,low ,0.34,9,Switching
Drivers should keep your eyes on the,road,True,high ,0.92,7,Predictable
The screaming little girl made the sitter very,purple,False,low ,0.33,8,Meaningless
"John felt sorry, but it was not his",eat,False,high ,0.91,8,Meaningless
The toddler jumped but the jar was out of,sight,True,high ,0.82,9,Switching
Jane fried some bacon in the,pan,True,high ,0.86,6,Predictable
He blew out his cigarette smoke in a small,curl,True,low ,0.34,9,Switching
The tourists enjoyed looking at the scenic,tool,False,low ,0.39,7,Meaningless
There was nothing to do once the fuse was,started,True,low ,0.39,9,Switching
The potatoes were seasoned with flakes of rosemary and,thyme,True,low ,0.35,9,Predictable
"An almond is a type of seed, not a",bean,True,high ,0.87,9,Switching
His boss refused to give him a,bark,False,high ,0.87,7,Meaningless
"Distracted while driving, Maya got stuck in the sticky",mud,True,low ,0.46,9,Predictable
Bill jumped in the lake and made a big,garbage,False,high ,0.92,9,Meaningless
The landlord did not like when the rent was,boring,False,high ,0.8,9,Meaningless
During the holidays it is very expensive to book a,snake,False,high ,0.81,10,Meaningless
Steven had been raised believing that lying was a,crime,True,high ,0.91,9,Switching
