task,participant_id,dominant_hand,hand_used,mode,mapping,list,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,item_original,sentence,last_word,meaningful,number_letters,word_count,word_frequency,cloze_probability,original_dataset,spelling_modified,start_time,end_time
SD,jale02,left,left,full,2,B,1,p1,practice,Practice,NA,NA,right,right,1,344,9,The couple's trip was ruined when it began to,rain,True,4,9,none,0.85,peele,no,2026-03-05 20:13:24,2026-03-05 20:13:29
SD,jale02,left,left,full,2,B,2,p1,practice,Practice,NA,NA,right,left,0,309,86,"While his parents vacationed, the kid threw a huge",fit,True,3,9,none,0.84,peele,no,2026-03-05 20:13:30,2026-03-05 20:13:35
SD,jale02,left,left,full,2,B,3,p1,practice,Practice,NA,NA,right,right,1,378,131,Claire claimed motherhood was the hardest job she ever,accomplished,True,12,9,none,0.82,peele,no,2026-03-05 20:13:37,2026-03-05 20:13:42
SD,jale02,left,left,full,2,B,4,p1,practice,Practice,NA,NA,left,right,0,316,14,Andrea watered her garden with a small,bear,False,4,7,none,0.45,peele,no,2026-03-05 20:13:44,2026-03-05 20:13:48
SD,jale02,left,left,full,2,B,5,p1,practice,Practice,NA,NA,right,right,1,274,1,In the evening grandpa smokes using his,pipe,True,4,7,none,0.96,peele,no,2026-03-05 20:13:49,2026-03-05 20:13:53
SD,jale02,left,left,full,2,B,6,p1,practice,Practice,NA,NA,left,left,1,301,7,The crime rate has gone up this,banana,False,6,7,none,0.81,block_baldwin,no,2026-03-05 20:13:55,2026-03-05 20:13:59
SD,jale02,left,left,full,2,B,7,p1,practice,Practice,NA,NA,right,right,1,1203,4,She made herself a sandwich and chips for,lunch,True,5,8,none,0.9,block_baldwin,no,2026-03-05 20:14:00,2026-03-05 20:14:06
SD,jale02,left,left,full,2,B,8,p1,practice,Practice,NA,NA,right,right,1,2102,117,The teacher was afraid of germs and getting,infected,True,8,8,none,0.92,peele,no,2026-03-05 20:14:07,2026-03-05 20:14:14
SD,jale02,left,left,full,2,B,9,p1,practice,Practice,NA,NA,left,right,0,807,6,The janitor accidentally spilled some water on the,moon,False,4,8,none,0.88,block_baldwin,no,2026-03-05 20:14:15,2026-03-05 20:14:20
SD,jale02,left,left,full,2,B,10,b1,experimental,Switching,NA,NA,right,right,1,330,118,"Married to a duchess, Max earned the title of",earl,True,4,9,7098366,0.88,peele,no,2026-03-05 20:14:41,2026-03-05 20:14:46
SD,jale02,left,left,full,2,B,11,b1,experimental,Predictable,NA,NA,right,right,1,2239,33,She threw away the old paper in the,trash,True,5,8,7109005,0.89,block_baldwin,no,2026-03-05 20:14:46,2026-03-05 20:14:53
SD,jale02,left,left,full,2,B,12,b1,experimental,Switching,NA,NA,right,right,1,157,132,Charles knew that the woman was out of his,class,True,5,9,197874283,0.82,peele,no,2026-03-05 20:14:53,2026-03-05 20:14:58
