task,participant_id,dominant_hand,hand_used,mode,mapping,list,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,item_original,sentence,last_word,meaningful,number_letters,word_count,word_frequency,cloze_probability,original_dataset,spelling_modified,start_time,end_time
SD,cala01,right,right,full,1,A,1,p1,practice,Practice,NA,NA,left,right,0,1058,1,In the evening grandpa smokes using his,pipe,True,4,7,none,0.96,peele,no,2026-03-07 23:31:21,2026-03-07 23:31:26
SD,cala01,right,right,full,1,A,2,p1,practice,Practice,NA,NA,left,left,1,547,86,"While his parents vacationed, the kid threw a huge",fit,True,3,9,none,0.84,peele,no,2026-03-07 23:31:28,2026-03-07 23:31:33
SD,cala01,right,right,full,1,A,3,p1,practice,Practice,NA,NA,right,right,1,2167,7,The crime rate has gone up this,banana,False,6,7,none,0.81,block_baldwin,no,2026-03-07 23:31:35,2026-03-07 23:31:40
SD,cala01,right,right,full,1,A,4,p1,practice,Practice,NA,NA,left,left,1,1289,117,The teacher was afraid of germs and getting,infected,True,8,8,none,0.92,peele,no,2026-03-07 23:31:42,2026-03-07 23:31:47
SD,cala01,right,right,full,1,A,5,p1,practice,Practice,NA,NA,left,left,1,1100,4,She made herself a sandwich and chips for,lunch,True,5,8,none,0.9,block_baldwin,no,2026-03-07 23:31:49,2026-03-07 23:31:54
SD,cala01,right,right,full,1,A,6,p1,practice,Practice,NA,NA,left,left,1,1273,9,The couple's trip was ruined when it began to,rain,True,4,9,none,0.85,peele,no,2026-03-07 23:31:56,2026-03-07 23:32:02
SD,cala01,right,right,full,1,A,7,p1,practice,Practice,NA,NA,right,right,1,1030,6,The janitor accidentally spilled some water on the,moon,False,4,8,none,0.88,block_baldwin,no,2026-03-07 23:32:03,2026-03-07 23:32:09
SD,cala01,right,right,full,1,A,8,p1,practice,Practice,NA,NA,right,right,1,2550,14,Andrea watered her garden with a small,bear,False,4,7,none,0.45,peele,no,2026-03-07 23:32:10,2026-03-07 23:32:17
SD,cala01,right,right,full,1,A,9,p1,practice,Practice,NA,NA,left,left,1,1486,131,Claire claimed motherhood was the hardest job she ever,accomplished,True,12,9,none,0.82,peele,no,2026-03-07 23:32:18,2026-03-07 23:32:24
SD,cala01,right,right,full,1,A,10,b1,experimental,Meaningless,NA,NA,right,left,0,1419,293,He had a long day and was in a bad,bake,False,4,10,3793474,0.95,block_baldwin,no,2026-03-07 23:32:52,2026-03-07 23:32:59
SD,cala01,right,right,full,1,A,11,b1,experimental,Meaningless,NA,NA,right,left,0,1679,299,The baby bird was ready to learn to,drive,False,5,8,109504766,0.91,block_baldwin,no,2026-03-07 23:33:00,2026-03-07 23:33:05
SD,cala01,right,right,full,1,A,12,b1,experimental,Predictable,NA,NA,left,left,1,2325,52,The librarian sternly told us to be,quiet,True,5,7,16787246,0.8,block_baldwin,no,2026-03-07 23:33:06,2026-03-07 23:33:12
SD,cala01,right,right,full,1,A,13,b1,experimental,Predictable,NA,NA,left,left,1,2103,37,The bride smiled as she walked down the,aisle,True,5,8,1919732,0.88,block_baldwin,no,2026-03-07 23:33:13,2026-03-07 23:33:19
SD,cala01,right,right,full,1,A,14,b1,experimental,Meaningless,NA,NA,right,right,1,2209,267,"When Jen showed the treat, Maggie's tail began to",hold,False,4,9,64197954,0.96,peele,no,2026-03-07 23:33:19,2026-03-07 23:33:26
SD,cala01,right,right,full,1,A,15,b1,experimental,Switching,NA,NA,left,left,1,1805,144,The necklaces were what the thief intended to,sell,True,4,8,141076205,0.83,peele,no,2026-03-07 23:33:27,2026-03-07 23:33:33
SD,cala01,right,right,full,1,A,16,b1,experimental,Predictable,NA,NA,left,left,1,2342,42,The accountant ironed a shirt before going to,work,True,4,8,446236148,0.9,block_baldwin,no,2026-03-07 23:33:33,2026-03-07 23:33:40
SD,cala01,right,right,full,1,A,17,b1,experimental,Meaningless,NA,NA,right,left,0,3537,278,Jenny lit the candles on the birthday,bath,False,4,7,30641959,0.94,block_baldwin,no,2026-03-07 23:33:40,2026-03-07 23:33:48
SD,cala01,right,right,full,1,A,18,b1,experimental,Meaningless,NA,NA,right,left,0,1877,294,"To prevent football injury, all players must wear shoulder",mistake,False,7,9,10869967,0.96,block_baldwin,no,2026-03-07 23:33:48,2026-03-07 23:33:55
SD,cala01,right,right,full,1,A,19,b1,experimental,Predictable,NA,NA,left,left,1,1754,58,The gas station is about two miles down the,road,True,4,9,134754203,0.88,block_baldwin,no,2026-03-07 23:33:55,2026-03-07 23:34:02
SD,cala01,right,right,full,1,A,20,b1,experimental,Switching,NA,NA,left,right,0,1751,103,The fisherman easily put the bait on the,rod,True,3,8,13158826,0.93,peele,no,2026-03-07 23:34:02,2026-03-07 23:34:08
SD,cala01,right,right,full,1,A,21,b1,experimental,Predictable,NA,NA,left,left,1,930,26,Ellen replaced the fuse that no longer,worked,True,6,7,38254292,0.86,block_baldwin,no,2026-03-07 23:34:09,2026-03-07 23:34:14
SD,cala01,right,right,full,1,A,22,b1,experimental,Meaningless,NA,NA,right,left,0,651,302,Surfers are scared of getting bitten by a,mirror,False,6,8,21617803,0.92,block_baldwin,no,2026-03-07 23:34:14,2026-03-07 23:34:19
SD,cala01,right,right,full,1,A,23,b1,experimental,Meaningless,NA,NA,right,right,1,1694,297,Success is often just a matter of hard,scream,False,6,8,4315852,0.93,block_baldwin,yes,2026-03-07 23:34:19,2026-03-07 23:34:25
SD,cala01,right,right,full,1,A,24,b1,experimental,Switching,NA,NA,left,left,1,780,91,"After washing his hands, Brandon dried them with a",napkin,True,6,9,1009668,0.96,peele,no,2026-03-07 23:34:26,2026-03-07 23:34:31
SD,cala01,right,right,full,1,A,25,b1,experimental,Switching,NA,NA,left,right,0,631,130,Eric was worried that his car didn't have enough,oil,True,3,9,83135749,0.86,peele,no,2026-03-07 23:34:32,2026-03-07 23:34:37
SD,cala01,right,right,full,1,A,26,b1,experimental,Switching,NA,NA,left,left,1,763,101,The little girl tripped and immediately began to,bleed,True,5,8,1991022,0.9,peele,no,2026-03-07 23:34:38,2026-03-07 23:34:43
SD,cala01,right,right,full,1,A,27,b1,experimental,Meaningless,NA,NA,right,left,0,1598,283,When Colin saw smoke he called 911 to report a,kick,False,4,10,12992179,0.91,block_baldwin,no,2026-03-07 23:34:43,2026-03-07 23:34:50
SD,cala01,right,right,full,1,A,28,b1,experimental,Switching,NA,NA,left,left,1,863,124,The elementary school girl loved to hula,dance,True,5,7,51387258,0.83,peele,no,2026-03-07 23:34:51,2026-03-07 23:34:55
SD,cala01,right,right,full,1,A,29,b1,experimental,Meaningless,NA,NA,right,left,0,677,265,The boy screamed after he was stung by a,tone,False,4,9,17489966,0.81,peele,no,2026-03-07 23:34:56,2026-03-07 23:35:01
SD,cala01,right,right,full,1,A,30,b1,experimental,Predictable,NA,NA,left,left,1,1049,35,The knight prepared for battle and drew his,sword,True,5,8,8865097,0.91,block_baldwin,yes,2026-03-07 23:35:02,2026-03-07 23:35:07
SD,cala01,right,right,full,1,A,31,b1,experimental,Switching,NA,NA,left,left,1,464,123,After missing lunch Harry badly needed some,rest,True,4,7,53534781,0.84,peele,no,2026-03-07 23:35:08,2026-03-07 23:35:12
SD,cala01,right,right,full,1,A,32,b1,experimental,Switching,NA,NA,left,left,1,903,112,"After weeks at sea, the bottle washed up onto the",rocks,True,5,10,12463155,0.83,peele,yes,2026-03-07 23:35:12,2026-03-07 23:35:18
SD,cala01,right,right,full,1,A,33,b1,experimental,Predictable,NA,NA,left,left,1,2865,83,Jamie preferred to use cooking foil made of,aluminum,True,8,8,14118370,0.81,peele,no,2026-03-07 23:35:19,2026-03-07 23:35:26
SD,cala01,right,right,full,1,A,34,b1,experimental,Predictable,NA,NA,left,left,1,667,27,"When the two met, one of them held out his",hand,True,4,10,123595776,0.95,block_baldwin,no,2026-03-07 23:35:27,2026-03-07 23:35:33
SD,cala01,right,right,full,1,A,35,b1,experimental,Predictable,NA,NA,left,left,1,3956,75,The shape of the woman's crystal ball was,round,True,5,8,62452044,0.82,block_baldwin,no,2026-03-07 23:35:33,2026-03-07 23:35:41
SD,cala01,right,right,full,1,A,36,b1,experimental,Switching,NA,NA,left,left,1,1234,140,Kelly believed that everything was determined by,looks,True,5,7,44159268,0.83,peele,no,2026-03-07 23:35:42,2026-03-07 23:35:47
SD,cala01,right,right,full,1,A,37,b1,experimental,Switching,NA,NA,left,left,1,836,126,"At the rock concert, the music was extremely",good,True,4,8,383787805,0.98,peele,no,2026-03-07 23:35:47,2026-03-07 23:35:52
SD,cala01,right,right,full,1,A,38,b1,experimental,Meaningless,NA,NA,right,left,0,358,288,During the holidays it is very expensive to book a,snake,False,5,10,7615672,0.81,block_baldwin,yes,2026-03-07 23:35:53,2026-03-07 23:35:58
SD,cala01,right,right,full,1,A,39,b1,experimental,Predictable,NA,NA,left,left,1,455,28,Ana accidentally tripped and fell down the,stairs,True,6,7,4476933,0.88,block_baldwin,no,2026-03-07 23:35:59,2026-03-07 23:36:03
SD,cala01,right,right,full,1,A,40,b1,experimental,Meaningless,NA,NA,right,left,0,738,287,I had no key to open the locked,loss,False,4,8,83845349,0.89,block_baldwin,no,2026-03-07 23:36:04,2026-03-07 23:36:09
SD,cala01,right,right,full,1,A,41,b1,experimental,Meaningless,NA,NA,right,left,0,723,304,The directions did not match any roads on the,anger,False,5,9,8002746,0.85,block_baldwin,no,2026-03-07 23:36:09,2026-03-07 23:36:15
SD,cala01,right,right,full,1,A,42,b1,experimental,Switching,NA,NA,left,left,1,819,137,Daniel was upset that his basketball team didn't,compete,True,7,8,9274206,0.91,peele,no,2026-03-07 23:36:15,2026-03-07 23:36:20
SD,cala01,right,right,full,1,A,43,b1,experimental,Predictable,NA,NA,left,left,1,1181,45,Jan tried to squeeze in but there was no,room,True,4,9,179794224,0.85,block_baldwin,no,2026-03-07 23:36:21,2026-03-07 23:36:27
SD,cala01,right,right,full,1,A,44,b1,experimental,Meaningless,NA,NA,right,left,0,2224,285,The building isn't for sale but it's available to,kill,False,4,9,24970551,0.81,peele,no,2026-03-07 23:36:27,2026-03-07 23:36:34
SD,cala01,right,right,full,1,A,45,b1,experimental,Predictable,NA,NA,left,left,1,1482,63,American Presidents are limited to serving a period of eight,years,True,5,10,352363058,0.84,block_baldwin,no,2026-03-07 23:36:35,2026-03-07 23:36:41
SD,cala01,right,right,full,1,A,46,b1,experimental,Switching,NA,NA,left,left,1,3974,138,Our walk was illuminated by the light of the,sun,True,3,9,123311561,0.84,peele,no,2026-03-07 23:36:42,2026-03-07 23:36:51
SD,cala01,right,right,full,1,A,47,b1,experimental,Switching,NA,NA,left,left,1,819,127,Ollie was tired of the radio playing the same,songs,True,5,9,49747608,0.84,peele,no,2026-03-07 23:36:51,2026-03-07 23:36:57
SD,cala01,right,right,full,1,A,48,b1,experimental,Predictable,NA,NA,left,left,1,471,47,"After hitting the iceberg, the ship began to",sink,True,4,8,8133475,0.96,block_baldwin,no,2026-03-07 23:36:57,2026-03-07 23:37:02
SD,cala01,right,right,full,1,A,49,b1,experimental,Meaningless,NA,NA,right,left,0,508,298,Many brunettes like to dye their hair,cold,False,4,7,41281263,0.86,block_baldwin,no,2026-03-07 23:37:02,2026-03-07 23:37:07
SD,cala01,right,right,full,1,A,50,b1,experimental,Switching,NA,NA,left,left,1,265,104,The gentleman on the bus offered the child his,snack,True,5,9,3851856,0.9,peele,no,2026-03-07 23:37:07,2026-03-07 23:37:12
SD,cala01,right,right,full,1,A,51,b1,experimental,Predictable,NA,NA,left,left,1,3014,55,Although Keith bowled well he did not have the highest,score,True,5,10,69946284,0.94,block_baldwin,no,2026-03-07 23:37:13,2026-03-07 23:37:21
