Sentence,LastWord,Meaningful,Predictability,cloze_probability,word_count,Condition
Jim convinced her that it was a bad prank to,call,True,low ,0.43,10,Switching
Grandmother baked a pie and set it on the,counter,True,low ,0.34,9,Predictable
Joan fed her baby some warm,milk,True,high ,0.88,6,Predictable
Charles dunked the basketball through the,hoop,True,high ,0.87,6,Predictable
At last the time for action had,come,True,high ,0.84,7,Predictable
She washed the dirty dishes in the,sink,True,high ,0.92,7,Predictable
Alexis was embarrassed by her child's behavior in,space,False,low ,0.36,8,Meaningless
The fisherman trapped hundreds of sharks in their,location,True,high ,0.82,8,Switching
The car suddenly appeared and Liz wasn't able to,heal,False,low ,0.35,9,Meaningless
Mary agreed that a popsicle would be the right,treat,True,low ,0.41,9,Predictable
