Item,Condition,Sentence,LastWord,original_dataset,RT_Control,RT_Patient,Gap_Cost,Selection_Criteria,Meaningful,cloze_probability,word_count,word_frequency,Lastword_Count
103,Switching,The fisherman easily put the bait on the,rod,peele,0.2868598221,0.4672503767,0.1803905545,Biggest Gap,True,0.93,8,13158826.0,3
118,Switching,"Married to a duchess, Max earned the title of",earl,peele,0.2368172639,0.4160083531,0.1791910892,Biggest Gap,True,0.88,9,7098366.0,4
138,Switching,Our walk was illuminated by the light of the,sun,peele,0.2730051367,0.4506953524,0.1776902157,Biggest Gap,True,0.84,9,123311561.0,3
142,Switching,Sam does not like desserts that are too,tart,peele,0.2015112659,0.368318097,0.1668068311,Biggest Gap,True,0.86,8,1364503.0,4
130,Switching,Eric was worried that his car didn't have enough,oil,peele,0.2669810606,0.4195474591,0.1525663985,Biggest Gap,True,0.86,9,83135749.0,3
102,Switching,"After swallowing too quickly, Simon began to",burp,peele,0.2101765465,0.3413855754,0.1312090288,Biggest Gap,True,0.82,7,455109.0,4
104,Switching,The gentleman on the bus offered the child his,snack,peele,0.2022350405,0.3330529448,0.1308179044,Biggest Gap,True,0.9,9,3851856.0,5
128,Switching,Chris said his dog had always been his best,pal,peele,0.2982773995,0.4272433411,0.1289659416,Biggest Gap,True,0.95,9,10016948.0,3
112,Switching,"After weeks at sea, the bottle washed up onto the",rocks,peele,0.1689072606,0.2838835533,0.1149762927,Biggest Gap,True,0.83,10,12463155.0,5
107,Switching,Paulina gave the huge lollipop a big,bite,peele,0.2154304328,0.330156043,0.1147256102,Biggest Gap,True,0.88,7,6067411.0,4
123,Switching,After missing lunch Harry badly needed some,rest,peele,0.208975071,0.3174797912,0.1085047202,Biggest Gap,True,0.84,7,53534781.0,4
119,Switching,The patient's broken arm took awhile to,xray,peele,0.255740997,0.3580583874,0.1023173904,Biggest Gap,True,0.88,7,496284.0,4
140,Switching,Kelly believed that everything was determined by,looks,peele,0.1868688489,0.2883901499,0.101521301,Biggest Gap,True,0.83,7,44159268.0,5
141,Switching,Lily had disliked him from the moment they,talked,peele,0.1575427815,0.2549425813,0.09739979975,Biggest Gap,True,0.99,8,9614167.0,6
127,Switching,Ollie was tired of the radio playing the same,songs,peele,0.1450277822,0.2387876125,0.09375983032,Biggest Gap,True,0.84,9,49747608.0,5
122,Switching,It was announced that the two companies would,compete,peele,0.141250748,0.2326109236,0.09136017563,Biggest Gap,True,0.96,9,9274206.0,7
