task,participant_id,dominant_hand,hand_used,mode,mapping,list,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,item_original,sentence,last_word,meaningful,number_letters,word_count,word_frequency,cloze_probability,original_dataset,spelling_modified,start_time,end_time
SD,prueba01,right,right,full,1,A,1,p1,practice,Practice,NA,NA,left,left,1,575,1,In the evening grandpa smokes using his,pipe,True,4,7,none,0.96,peele,no,2026-03-04 21:20:35,2026-03-04 21:20:39
SD,prueba01,right,right,full,1,A,2,p1,practice,Practice,NA,NA,left,right,0,591,9,The couple's trip was ruined when it began to,rain,True,4,9,none,0.85,peele,no,2026-03-04 21:20:41,2026-03-04 21:20:46
SD,prueba01,right,right,full,1,A,3,p1,practice,Practice,NA,NA,right,right,1,1554,14,Andrea watered her garden with a small,bear,False,4,7,none,0.45,peele,no,2026-03-04 21:20:48,2026-03-04 21:20:53
SD,prueba01,right,right,full,1,A,4,p1,practice,Practice,NA,NA,right,right,1,1137,7,The crime rate has gone up this,banana,False,6,7,none,0.81,block_baldwin,no,2026-03-04 21:20:55,2026-03-04 21:20:59
SD,prueba01,right,right,full,1,A,5,p1,practice,Practice,NA,NA,left,right,0,1031,117,The teacher was afraid of germs and getting,infected,True,8,8,none,0.92,peele,no,2026-03-04 21:21:01,2026-03-04 21:21:06
SD,prueba01,right,right,full,1,A,6,p1,practice,Practice,NA,NA,left,left,1,1374,86,"While his parents vacationed, the kid threw a huge",fit,True,3,9,none,0.84,peele,no,2026-03-04 21:21:08,2026-03-04 21:21:14
SD,prueba01,right,right,full,1,A,7,p1,practice,Practice,NA,NA,right,left,0,365,6,The janitor accidentally spilled some water on the,moon,False,4,8,none,0.88,block_baldwin,no,2026-03-04 21:21:16,2026-03-04 21:21:20
SD,prueba01,right,right,full,1,A,8,p1,practice,Practice,NA,NA,left,right,0,3663,131,Claire claimed motherhood was the hardest job she ever,accomplished,True,12,9,none,0.82,peele,no,2026-03-04 21:21:22,2026-03-04 21:21:30
SD,prueba01,right,right,full,1,A,9,p1,practice,Practice,NA,NA,left,right,0,329,4,She made herself a sandwich and chips for,lunch,True,5,8,none,0.9,block_baldwin,no,2026-03-04 21:21:32,2026-03-04 21:21:36
SD,prueba01,right,right,full,1,A,10,b1,experimental,Predictable,NA,NA,left,right,0,446,75,The shape of the woman's crystal ball was,round,True,5,8,62452044,0.82,block_baldwin,no,2026-03-04 21:21:45,2026-03-04 21:21:50
SD,prueba01,right,right,full,1,A,11,b1,experimental,Predictable,NA,NA,left,left,1,430,26,Ellen replaced the fuse that no longer,worked,True,6,7,38254292,0.86,block_baldwin,no,2026-03-04 21:21:50,2026-03-04 21:21:54
