Sentence,LastWord,correct_response,word_frequency,Meaningful,Predictability,cloze_probability,original_dataset,CoRT_mean,CoRT_std,word_count,Item,Condition,Lastword_Count
In the evening grandpa smokes using his,pipe,j,1.0,True,high ,0.96,peele,4.4,0.547722558,7,1,Practice,4
When she lost her doll the girl began to,holler,j,1.0,True,high ,0.84,peele,4.333333333,0.816496581,9,2,Practice,6
The committed scientist spent hours working in the,formula,j,1.0,True,high ,0.88,peele,4.0,0.816496581,8,3,Practice,7
She made herself a sandwich and chips for,lunch,j,1.0,True,high ,0.9,block_baldwin,4.142857143,1.214985793,8,4,Practice,5
The teacher wrote the problem on the,game,f,1.0,False,high ,0.94,block_baldwin,4.142857143,1.463850109,7,5,Practice,4
The janitor accidentally spilled some water on the,moon,f,1.0,False,high ,0.88,block_baldwin,4.142857143,1.463850109,8,6,Practice,4
The crime rate has gone up this,banana,f,1.0,False,high ,0.81,block_baldwin,1.142857143,0.377964473,7,7,Practice,6
The diving board was scary because it was so,beige,f,1.0,False,high ,0.82,block_baldwin,1.857142857,1.573591585,9,8,Practice,5
The couple's trip was ruined when it began to,rain,j,1.0,True,high ,0.85,peele,2.0,0.707106781,9,9,Practice,4
Karla had played the game and knew how to,stratigize,j,1.0,True,high ,0.87,peele,1.8,1.303840481,9,10,Practice,10
Sharon majored in Education to learn how to,teach,j,1.0,True,high ,0.95,peele,1.0,0.0,8,11,Practice,5
The boxer knew that tonight he had to,succeed,j,1.0,True,high ,0.86,peele,2.0,1.0,8,12,Practice,7
Everyone on the cruise gasped and pointed out the massive,war,f,1.0,False,low ,0.49,peele,4.8,0.447213596,10,13,Practice,3
Andrea watered her garden with a small,bear,f,1.0,False,low ,0.45,peele,4.4,0.894427191,7,14,Practice,4
The dog was lonely without companions and started to,whine,j,1.0,True,low ,0.39,peele,4.0,1.224744871,9,15,Practice,5
Tommy was angry at his mom and started to,yell,j,1.0,True,low ,0.45,peele,4.0,1.264911064,9,16,Practice,4
The passengers feared capsizing when the ship began to,rock,j,1.0,True,low ,0.36,peele,4.2,0.836660027,9,17,Practice,4
Visitors at the medieval festival drank honey,mead,j,1.0,True,low ,0.35,peele,4.0,1.154700538,7,18,Practice,4
"To finish seasoning the salmon, Marge needed",land,f,1.0,False,low ,0.32,peele,2.0,1.224744871,7,19,Practice,4
Isaac didn't know what her behavior could,view,f,1.0,False,low ,0.48,peele,1.25,0.5,7,20,Practice,4
Timothy was hesitant when he had to make a,decision,j,1.0,True,low ,0.4,peele,1.25,0.5,9,21,Practice,8
Yolanda wants a great job so she can get,rich,j,1.0,True,low ,0.37,peele,1.8,1.788854382,9,22,Practice,4
Malcolm wanted to tidy the lawn but had no,mower,j,1.0,True,low ,0.33,peele,1.75,0.5,9,23,Practice,5
The young woman had a very recognizable,face,j,1.0,True,low ,0.44,peele,1.6,0.894427191,7,24,Practice,4
